comment_id,content,platform,like_count,topic_title
demo-001,回答速度挺快的,synthetic,0,AI 模型体验
demo-002,中文写作自然了很多,synthetic,0,AI 模型体验
demo-003,复杂问题还是会答错,synthetic,0,AI 模型体验
demo-004,价格能再低一些就好了,synthetic,0,AI 模型体验
demo-005,代码能运行，测试也通过了,synthetic,0,AI 模型体验
demo-006,这次更新有点惊喜,synthetic,0,AI 模型体验
demo-007,不太理解这个功能,synthetic,0,AI 模型体验
demo-008,希望支持更多上下文,synthetic,0,AI 模型体验
demo-009,试用后感觉一般,synthetic,0,AI 模型体验
demo-010,接口偶尔超时,synthetic,0,AI 模型体验
demo-011,结构化输出很方便,synthetic,0,AI 模型体验
demo-012,和之前相比没看出区别,synthetic,0,AI 模型体验
demo-013,这个例子讲得很清楚,synthetic,0,AI 模型体验
demo-014,事实引用需要再核实,synthetic,0,AI 模型体验
demo-015,本地测试很顺利,synthetic,0,AI 模型体验
demo-016,文档还可以更详细,synthetic,0,AI 模型体验
demo-017,挺适合批量处理评论,synthetic,0,AI 模型体验
demo-018,期待后续优化,synthetic,0,AI 模型体验
demo-019,还没用过，先收藏,synthetic,0,AI 模型体验
demo-020,速度不错但准确率要看任务,synthetic,0,AI 模型体验
